2025-03-13T10:55:10.061,FE,20, 0, 0,97, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,63940,q1,0.9992787,q2,-0.01566387,q3,-0.02025937,q4,-0.02803971,rollspeed,6.419309E-06,pitchspeed,0.0009743636,yawspeed,-2.529594E-05,repr_offset_q,,,sig ,Len,40,crc16,50814
2025-03-13T10:55:10.061,FE, 2, 0, 0,98, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,7332
2025-03-13T10:55:10.061,FE,14, 0, 0,99, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.06837603,alt,281.0341,climb,0.03286219,heading,356,throttle,0,,sig ,Len,28,crc16,54665
2025-03-13T10:55:10.155,FE,1C, 0, 0,9A, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,64020,roll,-0.03020156,pitch,-0.04141499,yaw,-0.05544306,rollspeed,0.000273646,pitchspeed,0.0006124813,yawspeed,0.0001803464,,sig ,Len,36,crc16,60604
2025-03-13T10:55:10.155,FE, 2, 0, 0,9B, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,46282
2025-03-13T10:55:10.170,FE,2A, 0, 0,9C, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,64076,chan1_raw,1495,chan2_raw,1510,chan3_raw,1056,chan4_raw,1499,chan5_raw,1499,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,33011
2025-03-13T10:55:10.296,FE, 2, 0, 0,9D, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,60423
2025-03-13T10:55:10.296,FE,1C, 0, 0,9E, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,64180,roll,-0.03032043,pitch,-0.04139325,yaw,-0.05545418,rollspeed,-9.785722E-06,pitchspeed,0.0005981524,yawspeed,-0.0003857599,,sig ,Len,36,crc16,62041
2025-03-13T10:55:10.296,FE,20, 0, 0,9F, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,64180,q1,0.999278,q2,-0.01572424,q3,-0.02026463,q4,-0.02802803,rollspeed,9.153228E-05,pitchspeed,0.0005929267,yawspeed,-0.0004361802,repr_offset_q,,,sig ,Len,40,crc16,36079
2025-03-13T10:55:10.390,FE,1C, 0, 0,A0, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,64245,lat,295982076,lon,1063014000,alt,281044,relative_alt,139,vx,-6,vy,1,vz,-3,hdg,35682,,sig ,Len,36,crc16,23438
2025-03-13T10:55:10.514,FE, 2, 0, 0,A1, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,35799
2025-03-13T10:55:10.530,FE,1C, 0, 0,A2, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,64344,roll,-0.03033186,pitch,-0.04140981,yaw,-0.055539,rollspeed,0.0004037055,pitchspeed,0.0004474141,yawspeed,-0.0005066702,,sig ,Len,36,crc16,54933
2025-03-13T10:55:10.530,FE, 2, 0, 0,A3, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,48236
2025-03-13T10:55:10.530,FE,20, 0, 0,A4, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,64424,q1,0.9992759,q2,-0.01573922,q3,-0.02027821,q4,-0.02808599,rollspeed,-0.0001970136,pitchspeed,-1.626625E-05,yawspeed,8.634891E-05,repr_offset_q,,,sig ,Len,40,crc16,660
2025-03-13T10:55:10.624,FE,1C, 0, 0,A5, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,64504,roll,-0.03036508,pitch,-0.04142037,yaw,-0.05561089,rollspeed,-1.353308E-05,pitchspeed,0.001409832,yawspeed,-0.000212561,,sig ,Len,36,crc16,65158
2025-03-13T10:55:10.751,FE, 2, 0, 0,A6, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,10,crc16,19663
